Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type
ENSG00000165259	X	84317874	84502479	-1	HDX	protein_coding
ENSG00000162624	1	75128434	75161533	1	LHX8	protein_coding
ENSG00000164330	5	158695916	159099761	-1	EBF1	protein_coding
ENSG00000143178	1	168281040	168314426	1	TBX19	protein_coding
ENSG00000258873	19	57154021	57167443	-1	DUXA	protein_coding
ENSG00000266265	7	130731235	130734176	-1	KLF14	protein_coding
ENSG00000160685	1	155002630	155018522	1	ZBTB7B	protein_coding
ENSG00000112182	6	89926529	90296908	-1	BACH2	protein_coding
ENSG00000198517	7	1530714	1543043	1	MAFK	protein_coding
ENSG00000092607	1	118883046	118989556	-1	TBX15	protein_coding
ENSG00000105516	19	48630030	48637438	-1	DBP	protein_coding
ENSG00000105419	19	47403124	47419523	-1	MEIS3	protein_coding
ENSG00000100146	22	37970686	37987422	-1	SOX10	protein_coding
ENSG00000139515	13	27920020	27926231	1	PDX1	protein_coding
ENSG00000173253	9	1049858	1057552	1	DMRT2	protein_coding
ENSG00000116833	1	200027602	200177424	1	NR5A2	protein_coding
ENSG00000188620	10	123135962	123137741	1	HMX3	protein_coding
ENSG00000181449	3	181711924	181714436	1	SOX2	protein_coding
ENSG00000111046	12	80707498	80709474	1	MYF6	protein_coding
ENSG00000137709	11	120236640	120319944	1	POU2F3	protein_coding
ENSG00000108924	17	55265012	55325065	1	HLF	protein_coding
ENSG00000073282	3	189631416	189897279	1	TP63	protein_coding
ENSG00000102034	X	130064874	130110716	-1	ELF4	protein_coding
ENSG00000153234	2	156324432	156342348	-1	NR4A2	protein_coding
ENSG00000143171	1	165400917	165445355	-1	RXRG	protein_coding
ENSG00000118689	6	108559835	108684774	1	FOXO3	protein_coding
ENSG00000110851	12	107732866	107761272	-1	PRDM4	protein_coding
ENSG00000135625	2	73290929	73293705	-1	EGR4	protein_coding
ENSG00000185022	22	38200767	38216511	1	MAFF	protein_coding
ENSG00000229094	CHR_HSCHR6_MHC_DBB_CTG1	31158060	31164434	-1	POU5F1	protein_coding
ENSG00000162761	1	165201867	165356715	-1	LMX1A	protein_coding
ENSG00000166888	12	57095408	57132139	-1	STAT6	protein_coding
ENSG00000067066	2	230415942	230544090	1	SP100	protein_coding
ENSG00000089116	12	113462034	113472280	-1	LHX5	protein_coding
ENSG00000116132	1	170662728	170739419	1	PRRX1	protein_coding
ENSG00000118217	1	161766294	161964070	1	ATF6	protein_coding
ENSG00000135100	12	120978543	121002512	1	HNF1A	protein_coding
ENSG00000164093	4	110617423	110642123	-1	PITX2	protein_coding
ENSG00000116604	1	156463727	156500828	-1	MEF2D	protein_coding
ENSG00000280635	CHR_HSCHR5_2_CTG5	177996182	177996994	-1	PROP1	protein_coding
ENSG00000125952	14	65006174	65102695	-1	MAX	protein_coding
ENSG00000140009	14	64084232	64338112	-1	ESR2	protein_coding
ENSG00000123685	1	212686418	212699985	-1	BATF3	protein_coding
ENSG00000162772	1	212565334	212620777	1	ATF3	protein_coding
ENSG00000179456	1	244048939	244057476	1	ZBTB18	protein_coding
ENSG00000171786	1	160367067	160372848	1	NHLH1	protein_coding
ENSG00000177426	18	3411608	3459978	1	TGIF1	protein_coding
ENSG00000230797	X	21855987	21858727	1	YY2	protein_coding
ENSG00000072310	17	17810399	17837002	-1	SREBF1	protein_coding
ENSG00000106459	7	129611714	129757082	1	NRF1	protein_coding
ENSG00000234852	CHR_HSCHR6_MHC_DBB_CTG1	31881788	31884173	-1	ZBTB12	protein_coding
ENSG00000187140	1	63323041	63325126	1	FOXD3	protein_coding
ENSG00000164299	5	80319625	80321842	1	SPZ1	protein_coding
ENSG00000184486	6	98834592	98839470	1	POU3F2	protein_coding
ENSG00000147862	9	14081843	14398983	-1	NFIB	protein_coding
ENSG00000135374	11	34478793	34513805	-1	ELF5	protein_coding
ENSG00000134954	11	128458761	128587558	-1	ETS1	protein_coding
ENSG00000151090	3	24117153	24495756	-1	THRB	protein_coding
ENSG00000213928	14	24161053	24166565	1	IRF9	protein_coding
ENSG00000171443	19	55600022	55603138	1	ZNF524	protein_coding
ENSG00000105880	7	97020392	97024950	-1	DLX5	protein_coding
ENSG00000117036	1	157121191	157138474	-1	ETV3	protein_coding
ENSG00000188786	1	37809567	37859620	-1	MTF1	protein_coding
ENSG00000174197	15	41621224	41773081	1	MGA	protein_coding
ENSG00000171862	10	87863113	87971930	1	PTEN	protein_coding
ENSG00000184895	Y	2786855	2787699	-1	SRY	protein_coding
ENSG00000008196	6	50818723	50847613	1	TFAP2B	protein_coding
ENSG00000165588	14	56799905	56810479	-1	OTX2	protein_coding
ENSG00000052850	11	44260440	44310166	-1	ALX4	protein_coding
ENSG00000185610	12	45014672	45051099	-1	DBX2	protein_coding
ENSG00000162599	1	60865259	61462793	1	NFIA	protein_coding
ENSG00000118263	2	207074137	207167267	-1	KLF7	protein_coding
ENSG00000100811	14	100238298	100282792	1	YY1	protein_coding
ENSG00000180535	7	98211427	98212979	1	BHLHA15	protein_coding
ENSG00000089225	12	114353931	114408442	-1	TBX5	protein_coding
ENSG00000185630	1	164555584	164899296	1	PBX1	protein_coding
ENSG00000198911	22	41833079	41907308	1	SREBF2	protein_coding
ENSG00000125533	20	63005927	63007035	-1	BHLHE23	protein_coding
ENSG00000140044	14	75427716	75474111	1	JDP2	protein_coding
ENSG00000165066	8	41645178	41650669	-1	NKX6-3	protein_coding
ENSG00000175329	22	35066136	35087387	1	ISX	protein_coding
ENSG00000204531	6	31164337	31180731	-1	POU5F1	protein_coding
ENSG00000175325	5	177992235	177996242	-1	PROP1	protein_coding
ENSG00000166823	15	89748661	89751310	-1	MESP1	protein_coding
ENSG00000113580	5	143277931	143435512	-1	NR3C1	protein_coding
ENSG00000256683	19	51964343	51986856	-1	ZNF350	protein_coding
ENSG00000142700	1	50417550	50423500	-1	DMRTA2	protein_coding
ENSG00000173153	11	64305572	64316743	1	ESRRA	protein_coding
ENSG00000237582	CHR_HSCHR6_MHC_SSTO_CTG1	31159218	31165590	-1	POU5F1	protein_coding
ENSG00000115297	2	74513463	74517147	1	TLX2	protein_coding
ENSG00000129514	14	37589984	37596059	-1	FOXA1	protein_coding
ENSG00000170653	12	53507856	53626410	-1	ATF7	protein_coding
ENSG00000165030	9	91409045	91423862	-1	NFIL3	protein_coding
ENSG00000065970	12	8032703	8055503	1	FOXJ2	protein_coding
ENSG00000054598	6	1609972	1613897	1	FOXC1	protein_coding
ENSG00000164853	7	1232907	1237318	1	UNCX	protein_coding
ENSG00000156273	21	29194071	29630751	1	BACH1	protein_coding
ENSG00000006377	7	97005548	97011039	1	DLX6	protein_coding
ENSG00000171532	17	39603536	39609777	-1	NEUROD2	protein_coding
ENSG00000185668	1	38044611	38046794	-1	POU3F1	protein_coding
ENSG00000180532	19	57668935	57679152	1	ZSCAN4	protein_coding
ENSG00000143190	1	167220829	167427345	1	POU2F1	protein_coding
ENSG00000273706	17	36936785	36944612	1	LHX1	protein_coding
ENSG00000158711	1	205597556	205631962	-1	ELK4	protein_coding
ENSG00000100644	14	61695513	61748259	1	HIF1A	protein_coding
ENSG00000185697	8	66562175	66614247	-1	MYBL1	protein_coding
ENSG00000174332	1	53506237	53738106	-1	GLIS1	protein_coding
ENSG00000124766	6	21592768	21598619	1	SOX4	protein_coding
ENSG00000105866	7	21428034	21514822	1	SP4	protein_coding
ENSG00000112561	6	41683978	41736259	-1	TFEB	protein_coding
ENSG00000126746	12	6666477	6689572	-1	ZNF384	protein_coding
ENSG00000109320	4	102501329	102617302	1	NFKB1	protein_coding
ENSG00000168310	4	184387713	184474580	-1	IRF2	protein_coding
ENSG00000082175	11	101029624	101130524	-1	PGR	protein_coding
ENSG00000111145	12	96194382	96269835	1	ELK3	protein_coding
ENSG00000167967	16	2223566	2235742	1	E4F1	protein_coding
ENSG00000158773	1	161039251	161045977	-1	USF1	protein_coding
ENSG00000112658	6	43171299	43181507	1	SRF	protein_coding
ENSG00000126767	X	47635521	47650604	-1	ELK1	protein_coding
ENSG00000165495	11	125164687	125433389	1	PKNOX2	protein_coding
ENSG00000136944	9	126614443	126701032	1	LMX1B	protein_coding
