Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type
ENSG00000275568	CHR_HSCHR15_4_CTG8	32695437	32720246	1	ARHGAP11A	protein_coding
ENSG00000276804	CHR_HSCHR19LRC_LRC_J_CTG3_1	54956665	54980661	-1	NLRP7	protein_coding
ENSG00000281024	CHR_HG2030_PATCH	133356700	133361317	1	SURF2	protein_coding
ENSG00000278232	CHR_HSCHR17_1_CTG5	46261820	46313387	-1	CRHR1	protein_coding
ENSG00000274672	CHR_HSCHR19LRC_LRC_J_CTG3_1	54190866	54195141	1	TSEN34	protein_coding
ENSG00000274566	CHR_HSCHR19LRC_LRC_S_CTG3_1	55021410	55045969	-1	GP6	protein_coding
ENSG00000276296	CHR_HSCHR19LRC_LRC_S_CTG3_1	54107066	54115801	-1	TFPT	protein_coding
ENSG00000198888	MT	3307	4262	1	MT-ND1	protein_coding
ENSG00000198763	MT	4470	5511	1	MT-ND2	protein_coding
ENSG00000198804	MT	5904	7445	1	MT-CO1	protein_coding
ENSG00000198712	MT	7586	8269	1	MT-CO2	protein_coding
ENSG00000198840	MT	10059	10404	1	MT-ND3	protein_coding
ENSG00000275474	CHR_HSCHR19LRC_LRC_S_CTG3_1	55052029	55070922	-1	RDH13	protein_coding
ENSG00000198786	MT	12337	14148	1	MT-ND5	protein_coding
ENSG00000198695	MT	14149	14673	-1	MT-ND6	protein_coding
ENSG00000198727	MT	14747	15887	1	MT-CYB	protein_coding
ENSG00000280858	CHR_HG2030_PATCH	133348362	133351574	1	RPL7A	protein_coding
ENSG00000277401	CHR_HSCHR15_4_CTG8	29850002	29972346	-1	TJP1	protein_coding
ENSG00000285224	CHR_HSCHR6_MHC_COX_CTG1	30904070	30916173	1	VARS2	protein_coding
ENSG00000278322	CHR_HSCHR19LRC_COX2_CTG3_1	54173854	54190480	-1	MBOAT7	protein_coding
ENSG00000275796	CHR_HSCHR19LRC_COX2_CTG3_1	54636119	54671975	1	NLRP2	protein_coding
ENSG00000278712	CHR_HSCHR19LRC_PGF2_CTG3_1	54190866	54195141	1	TSEN34	protein_coding
ENSG00000281309	CHR_HG2030_PATCH	133328922	133336546	-1	SURF6	protein_coding
ENSG00000086967	19	50432903	50466321	1	MYBPC2	protein_coding
ENSG00000142552	19	49527618	49546962	1	RCN3	protein_coding
ENSG00000103642	15	63121800	63142061	1	LACTB	protein_coding
ENSG00000170855	12	120443961	120446412	-1	TRIAP1	protein_coding
ENSG00000127412	7	142908101	142933808	-1	TRPV5	protein_coding
ENSG00000105732	19	42068477	42081549	1	ZNF574	protein_coding
ENSG00000229547	X	84934151	84934890	1	UBE2DNL	transcribed_processed_pseudogene
ENSG00000137955	1	75786197	75795079	1	RABGGTB	protein_coding
ENSG00000143224	1	161166410	161178013	1	PPOX	protein_coding
ENSG00000134285	12	48921518	48926474	-1	FKBP11	protein_coding
ENSG00000165259	X	84317874	84502479	-1	HDX	protein_coding
ENSG00000172602	12	48857145	48865898	-1	RND1	protein_coding
ENSG00000196074	20	59863563	59933655	-1	SYCP2	protein_coding
ENSG00000167962	16	1997654	2009823	-1	ZNF598	protein_coding
ENSG00000204983	7	142749468	142753076	1	PRSS1	protein_coding
ENSG00000167535	12	48813794	48828941	1	CACNB3	protein_coding
ENSG00000198756	1	183929854	184037729	-1	COLGALT2	protein_coding
ENSG00000113296	5	79991311	80083287	1	THBS4	protein_coding
ENSG00000185437	21	39445855	39515506	1	SH3BGR	protein_coding
ENSG00000231500	6	33272010	33276510	1	RPS18	protein_coding
ENSG00000198860	1	184051651	184123978	1	TSEN15	protein_coding
ENSG00000150433	11	125096545	125111763	-1	TMEM218	protein_coding
ENSG00000182093	21	39377698	39428528	1	WRB	protein_coding
ENSG00000274108	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54738481	54752986	1	KIR2DL3	protein_coding
ENSG00000157379	14	24290598	24299833	-1	DHRS1	protein_coding
ENSG00000108576	17	30194319	30236002	-1	SLC6A4	protein_coding
ENSG00000223501	6	33250272	33272047	-1	VPS52	protein_coding
ENSG00000116791	1	74705482	74733408	-1	CRYZ	protein_coding
ENSG00000139990	14	69050881	69153150	-1	DCAF5	protein_coding
ENSG00000160691	1	154962298	154974395	-1	SHC1	protein_coding
ENSG00000278368	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54816432	54830744	1	KIR3DL1	protein_coding
ENSG00000170264	2	61824854	61854143	-1	FAM161A	protein_coding
ENSG00000116406	1	184690231	184754913	-1	EDEM3	protein_coding
ENSG00000179914	1	160876539	160885170	-1	ITLN1	protein_coding
ENSG00000000938	1	27612064	27635277	-1	FGR	protein_coding
ENSG00000135842	1	184790724	184974550	-1	FAM129A	protein_coding
ENSG00000119403	9	120855652	120894896	-1	PHF19	protein_coding
ENSG00000277750	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54803572	54814476	1	KIR2DL4	protein_coding
ENSG00000129351	19	10654261	10692417	1	ILF3	protein_coding
ENSG00000121481	1	185045364	185102608	1	RNF2	protein_coding
ENSG00000162624	1	75128434	75161533	1	LHX8	protein_coding
ENSG00000277356	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54769746	54783981	1	KIR2DL1	protein_coding
ENSG00000074219	19	49340595	49362457	-1	TEAD2	protein_coding
ENSG00000121486	1	185118098	185157072	-1	TRMT1L	protein_coding
ENSG00000215845	1	161037631	161038990	-1	TSTD1	protein_coding
ENSG00000103194	16	84699978	84779922	1	USP10	protein_coding
ENSG00000158769	1	160995211	161021348	-1	F11R	protein_coding
ENSG00000135914	2	231108230	231125118	-1	HTR2B	protein_coding
ENSG00000274638	CHR_HSCHR19LRC_LRC_I_CTG3_1	54970903	55006759	1	NLRP2	protein_coding
ENSG00000164440	6	139240061	139292139	-1	TXLNB	protein_coding
ENSG00000273738	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54874290	54891462	1	FCAR	protein_coding
ENSG00000278079	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54816470	54830813	1	KIR3DL1	protein_coding
ENSG00000276779	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54803599	54814548	1	KIR2DL4	protein_coding
ENSG00000173171	1	155208699	155213824	1	MTX1	protein_coding
ENSG00000170515	12	56104319	56113907	1	PA2G4	protein_coding
ENSG00000164032	4	99948086	99950388	-1	H2AFZ	protein_coding
ENSG00000070214	9	105244622	105439171	1	SLC44A1	protein_coding
ENSG00000167987	11	61130256	61161617	-1	VPS37C	protein_coding
ENSG00000185088	15	63125872	63158021	-1	RPS27L	protein_coding
ENSG00000027697	6	137197484	137219449	-1	IFNGR1	protein_coding
ENSG00000206235	CHR_HSCHR6_MHC_MANN_CTG1	32975593	32992541	-1	TAP2	protein_coding
ENSG00000186889	2	62500221	62511894	-1	TMEM17	protein_coding
ENSG00000128165	22	50481556	50486440	1	ADM2	protein_coding
ENSG00000100599	14	92513774	92688994	1	RIN3	protein_coding
ENSG00000142538	19	49422414	49423441	-1	PTH2	protein_coding
ENSG00000105737	19	41998321	42069498	-1	GRIK5	protein_coding
ENSG00000163348	1	154957026	154963853	-1	PYGO2	protein_coding
ENSG00000196517	1	43991500	44031467	-1	SLC6A9	protein_coding
ENSG00000163344	1	154924734	154936991	-1	PMVK	protein_coding
ENSG00000105404	19	41956681	41959390	-1	RABAC1	protein_coding
ENSG00000171453	6	43509702	43562419	1	POLR1C	protein_coding
ENSG00000164309	5	79689877	79800240	1	CMYA5	protein_coding
ENSG00000118137	11	116835751	116837950	-1	APOA1	protein_coding
ENSG00000164330	5	158695916	159099761	-1	EBF1	protein_coding
ENSG00000123552	6	99432379	99521728	-1	USP45	protein_coding
ENSG00000183495	12	131949920	132081102	1	EP400	protein_coding
ENSG00000116786	1	15684332	15734769	1	PLEKHM2	protein_coding
ENSG00000177192	12	131929200	131945896	1	PUS1	protein_coding
ENSG00000119711	14	74056850	74084493	-1	ALDH6A1	protein_coding
ENSG00000152413	5	79372636	79514217	-1	HOMER1	protein_coding
ENSG00000177169	12	131894651	131923167	1	ULK1	protein_coding
ENSG00000119723	14	73949926	73963670	1	COQ6	protein_coding
ENSG00000108984	17	69414698	69553861	1	MAP2K6	protein_coding
ENSG00000116260	1	180154834	180204030	1	QSOX1	protein_coding
ENSG00000143337	1	179882042	179925000	1	TOR1AIP1	protein_coding
ENSG00000167528	12	48337180	48351414	-1	ZNF641	protein_coding
ENSG00000236697	CHR_HSCHR6_MHC_MANN_CTG1	32230151	32234908	-1	GPSM3	protein_coding
ENSG00000127554	16	1984207	1987749	1	GFER	protein_coding
ENSG00000130368	6	159906690	159916530	1	MAS1	protein_coding
ENSG00000122970	12	110124335	110218797	1	IFT81	protein_coding
ENSG00000119333	9	128633661	128656787	-1	WDR34	protein_coding
ENSG00000160469	19	55282072	55312533	1	BRSK1	protein_coding
ENSG00000127191	9	136881912	136926607	1	TRAF2	protein_coding
ENSG00000146263	6	97142161	97283217	-1	MMS22L	protein_coding
ENSG00000176903	14	73711783	73714372	-1	PNMA1	protein_coding
ENSG00000124279	5	7859159	7869037	-1	FASTKD3	protein_coding
ENSG00000127329	12	70515866	70637440	-1	PTPRB	protein_coding
