Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type
ENSG00000198517	7	1530714	1543043	1	MAFK	protein_coding
ENSG00000185022	22	38200767	38216511	1	MAFF	protein_coding
ENSG00000125952	14	65006174	65102695	-1	MAX	protein_coding
ENSG00000162772	1	212565334	212620777	1	ATF3	protein_coding
ENSG00000072310	17	17810399	17837002	-1	SREBF1	protein_coding
ENSG00000106459	7	129611714	129757082	1	NRF1	protein_coding
ENSG00000134954	11	128458761	128587558	-1	ETS1	protein_coding
ENSG00000100811	14	100238298	100282792	1	YY1	protein_coding
ENSG00000198911	22	41833079	41907308	1	SREBF2	protein_coding
ENSG00000113580	5	143277931	143435512	-1	NR3C1	protein_coding
ENSG00000173153	11	64305572	64316743	1	ESRRA	protein_coding
ENSG00000136717	2	127048027	127107355	-1	BIN1	protein_coding
ENSG00000081189	5	88717117	88904257	-1	MEF2C	protein_coding
ENSG00000129514	14	37589984	37596059	-1	FOXA1	protein_coding
ENSG00000158711	1	205597556	205631962	-1	ELK4	protein_coding
ENSG00000109320	4	102501329	102617302	1	NFKB1	protein_coding
ENSG00000158773	1	161039251	161045977	-1	USF1	protein_coding
ENSG00000112658	6	43171299	43181507	1	SRF	protein_coding
ENSG00000185122	8	144291591	144314722	1	HSF1	protein_coding
ENSG00000137265	6	391739	411447	1	IRF4	protein_coding
ENSG00000100393	22	41091786	41180079	1	EP300	protein_coding
ENSG00000186350	9	134317098	134440585	1	RXRA	protein_coding
ENSG00000125347	5	132481609	132490798	-1	IRF1	protein_coding
ENSG00000101412	20	33675683	33686404	-1	E2F1	protein_coding
ENSG00000012048	17	43044295	43170245	-1	BRCA1	protein_coding
ENSG00000143390	1	151340640	151347357	-1	RFX5	protein_coding
ENSG00000185591	12	53380176	53416446	1	SP1	protein_coding
ENSG00000102974	16	67562407	67639185	1	CTCF	protein_coding
ENSG00000115415	2	190964358	191020960	-1	STAT1	protein_coding
ENSG00000084093	4	56907876	56966678	1	REST	protein_coding
ENSG00000028277	19	42086110	42196585	-1	POU2F2	protein_coding
ENSG00000120738	5	138465490	138469315	1	EGR1	protein_coding
ENSG00000087510	20	56629302	56639283	1	TFAP2C	protein_coding
ENSG00000123405	12	54292111	54301121	-1	NFE2	protein_coding
ENSG00000001167	6	41072945	41099976	1	NFYA	protein_coding
ENSG00000101076	20	44355700	44434596	1	HNF4A	protein_coding
ENSG00000057657	6	106086320	106109939	1	PRDM1	protein_coding
ENSG00000162367	1	47216290	47232220	-1	TAL1	protein_coding
ENSG00000205250	16	67192169	67198918	1	E2F4	protein_coding
ENSG00000172216	20	50190734	50192689	1	CEBPB	protein_coding
ENSG00000136997	8	127735434	127741434	1	MYC	protein_coding
ENSG00000126456	19	49659569	49665875	-1	IRF3	protein_coding
ENSG00000166478	11	9460319	9528524	1	ZNF143	protein_coding
ENSG00000177485	X	120250752	120258398	1	ZBTB33	protein_coding
ENSG00000148516	10	31318495	31529814	1	ZEB1	protein_coding
ENSG00000134107	3	4979116	4985323	1	BHLHE40	protein_coding
ENSG00000140262	15	56918623	57299281	1	TCF12	protein_coding
ENSG00000168610	17	42313324	42388568	-1	STAT3	protein_coding
ENSG00000112592	6	170554302	170572870	1	TBP	protein_coding
ENSG00000125798	20	22581005	22585455	-1	FOXA2	protein_coding
ENSG00000066336	11	47354860	47378576	-1	SPI1	protein_coding
ENSG00000178951	19	4044364	4066945	-1	ZBTB7A	protein_coding
ENSG00000179348	3	128479427	128493185	-1	GATA2	protein_coding
ENSG00000120690	13	40932028	41061440	-1	ELF1	protein_coding
ENSG00000154727	21	25734570	25772460	1	GABPA	protein_coding
ENSG00000164330	5	158695916	159099761	-1	EBF1	protein_coding
ENSG00000164683	8	79764010	79767863	-1	HEY1	protein_coding
ENSG00000177463	3	14947584	15053600	1	NR2C2	protein_coding
ENSG00000068305	15	99565417	99716466	1	MEF2A	protein_coding
ENSG00000137203	6	10393186	10419659	-1	TFAP2A	protein_coding
ENSG00000196092	9	36833275	37034185	-1	PAX5	protein_coding
